SP,CC,CSab,P1ab,P2ab,P3ab,P4ab,P5ab,CSad,P1ad,P2ad,P3ad,P4ad,P5ad
FB,24.55,11.86,0.18,0.32,0.55,0.48,0.52,22.65,0.35,0.48,0.88,0.59,0.25
FB,19.05,9.09,0.21,0.36,0.46,0.54,0.48,17.75,0.33,0.44,0.68,0.52,0.25
FB,21.58,9.38,0.3,0.38,0.42,0.42,0.36,20.2,0.38,0.66,0.79,0.59,0.33
FB,17.95,9.35,0.26,0.38,0.53,0.44,0.29,16.61,0.28,0.45,0.57,0.44,0.24
FB,16.85,8.37,0.17,0.26,0.33,0.27,0.26,16.08,0.29,0.38,0.53,0.34,0.25
FB,20.65,9.41,0.19,0.29,0.38,0.41,0.35,19.64,0.26,0.49,0.66,0.51,0.33
FB,19.13,9.79,0.19,0.31,0.43,0.35,0.33,18.59,0.39,0.34,0.62,0.38,0.19
FB,19.52,8.47,0.21,0.39,0.43,0.53,0.35,17.82,0.26,0.35,0.49,0.38,0.17
FB,20.67,9.29,0.23,0.31,0.47,0.44,0.43,19.54,0.35,0.48,0.68,0.44,0.23
FB,19.24,9.09,0.23,0.41,0.49,0.44,0.35,17.92,0.25,0.43,0.56,0.44,0.21
FB,21.87,9.82,0.31,0.45,0.52,0.47,0.45,20.05,0.26,0.42,0.55,0.45,0.23
FB,20.11,9.83,0.19,0.32,0.48,0.44,0.34,18.99,0.23,0.42,0.64,0.34,0.21
FB,17.77,8.46,0.23,0.29,0.39,0.37,0.33,16.81,0.21,0.39,0.45,0.33,0.19
FB,17.23,9.31,0.23,0.27,0.41,0.45,0.44,16.07,0.22,0.37,0.55,0.33,0.2
FB,24.94,11.17,0.38,0.53,0.59,0.57,0.47,23.97,0.34,0.65,0.78,0.61,0.25
FB,24.45,11.55,0.25,0.52,0.59,0.57,0.53,23.53,0.25,0.47,0.66,0.45,0.26
FB,28.13,11.71,0.24,0.44,0.62,0.49,0.49,26.57,0.25,0.56,0.92,0.69,0.3057
FB,21.78,9.56,0.24,0.41,0.52,0.44,0.43,19.83,0.21,0.48,0.73,0.41,0.22
FB,23.21,10.47,0.23,0.39,0.47,0.46,0.45,21.41,0.26,0.36,0.57,0.47,0.24
FB,29.12,10.92,0.27,0.42,0.67,0.42,0.38,26.77,0.45,0.61,0.97,0.71,0.34
FB,27.62,10.06,0.31,0.43,0.61,0.64,0.49,25.12,0.25,0.61,0.68,0.45,0.22
FB,28.79,11.88,0.27,0.47,0.71,0.63,0.54,27.33,0.35,0.66,0.83,0.56,0.23
FB,26.75,11.36,0.25,0.55,0.61,0.62,0.47,24.72,0.33,0.47,0.65,0.46,0.15
FB,24.25,10.01,0.28,0.47,0.61,0.48,0.46,22.78,0.31,0.47,0.73,0.48,0.22
FB,28.06,12.42,0.31,0.51,0.68,0.62,0.53,25.21,0.25,0.51,0.69,0.45,0.21
FB,23.78,12.17,0.32,0.51,0.67,0.57,0.46,21.81,0.27,0.58,0.66,0.42,0.21
FB,25.26,13.02,0.23,0.46,0.64,0.62,0.58,22.73,0.37,0.41,0.66,0.34,0.18
FB,26.95,11.01,0.26,0.42,0.53,0.42,0.41,25.61,0.2738,0.5618,0.7,0.551,0.36
FB,24.47,11.02,0.24,0.39,0.49,0.47,0.46,21.79,0.26,0.51,0.68,0.36,0.24
FB,28.01,10.02,0.34,0.51,0.61,0.64,0.47,24.81,0.26,0.48,0.85,0.46,0.21
FB,26.49,10.79,0.29,0.42,0.54,0.43,0.41,24.9,0.26,0.62,0.76,0.57,0.21
FB,32.72,13.79,0.33,0.55,0.69,0.58,0.53,31.24,0.47,0.5631,0.8532,0.62,0.38
FB,24.72,13.19,0.35,0.55,0.71,0.58,0.56,23.23,0.33,0.51,0.94,0.46,0.24
